subjects,session,fold_number,trial,window_test_start,label,proba_left_hand,proba_right_hand,proba_feet,proba_tongue
2,"['session_T', 'session_E']",1,0,0.5,0,0.326,0.2953,0.01,0.3687
2,"['session_T', 'session_E']",1,1,0.5,1,0.3301,0.5194,0.0206,0.1298
2,"['session_T', 'session_E']",1,2,0.5,3,0.0764,0.3015,0.5554,0.0667
2,"['session_T', 'session_E']",1,3,0.5,3,0.4189,0.1015,0.0069,0.4728
2,"['session_T', 'session_E']",1,4,0.5,3,0.5501,0.2029,0.0438,0.2032
2,"['session_T', 'session_E']",1,5,0.5,0,0.2262,0.1863,0.0479,0.5397
2,"['session_T', 'session_E']",1,6,0.5,1,0.3597,0.4034,0.0183,0.2186
2,"['session_T', 'session_E']",1,7,0.5,2,0.0675,0.1904,0.6701,0.0719
2,"['session_T', 'session_E']",1,8,0.5,0,0.4652,0.0665,0.011,0.4573
2,"['session_T', 'session_E']",1,9,0.5,3,0.2381,0.4282,0.0056,0.3281
2,"['session_T', 'session_E']",1,10,0.5,3,0.6965,0.0852,0.0141,0.2043
2,"['session_T', 'session_E']",1,11,0.5,3,0.5191,0.1722,0.0171,0.2916
2,"['session_T', 'session_E']",1,12,0.5,1,0.1814,0.6746,0.0275,0.1164
2,"['session_T', 'session_E']",1,13,0.5,0,0.316,0.0924,0.0206,0.5709
2,"['session_T', 'session_E']",1,14,0.5,1,0.7776,0.0793,0.0173,0.1258
2,"['session_T', 'session_E']",1,15,0.5,0,0.1016,0.4335,0.2194,0.2455
2,"['session_T', 'session_E']",1,16,0.5,3,0.3898,0.2981,0.0125,0.2997
2,"['session_T', 'session_E']",1,17,0.5,2,0.1798,0.1945,0.0665,0.5593
2,"['session_T', 'session_E']",1,18,0.5,2,0.7226,0.0831,0.0932,0.101
2,"['session_T', 'session_E']",1,19,0.5,2,0.1021,0.0123,0.8414,0.0442
2,"['session_T', 'session_E']",1,20,0.5,0,0.0431,0.3567,0.2174,0.3827
2,"['session_T', 'session_E']",1,21,0.5,0,0.5507,0.058,0.009,0.3823
2,"['session_T', 'session_E']",1,22,0.5,1,0.2262,0.4633,0.1109,0.1996
2,"['session_T', 'session_E']",1,23,0.5,3,0.301,0.1413,0.3919,0.1657
2,"['session_T', 'session_E']",1,24,0.5,0,0.1235,0.615,0.0684,0.1931
2,"['session_T', 'session_E']",1,25,0.5,1,0.542,0.2588,0.0206,0.1787
2,"['session_T', 'session_E']",1,26,0.5,3,0.4586,0.0821,0.043,0.4163
2,"['session_T', 'session_E']",1,27,0.5,1,0.4981,0.2335,0.0105,0.2579
2,"['session_T', 'session_E']",1,28,0.5,0,0.0919,0.7981,0.0421,0.0679
2,"['session_T', 'session_E']",1,29,0.5,3,0.1663,0.2058,0.2338,0.394
2,"['session_T', 'session_E']",1,30,0.5,3,0.2715,0.1812,0.4821,0.0653
2,"['session_T', 'session_E']",1,31,0.5,0,0.5349,0.2889,0.0601,0.1161
2,"['session_T', 'session_E']",1,32,0.5,3,0.5788,0.2178,0.0458,0.1576
2,"['session_T', 'session_E']",1,33,0.5,1,0.4661,0.133,0.0061,0.3949
2,"['session_T', 'session_E']",1,34,0.5,1,0.2362,0.4404,0.0342,0.2892
2,"['session_T', 'session_E']",1,35,0.5,3,0.2886,0.3099,0.0327,0.3688
2,"['session_T', 'session_E']",1,36,0.5,2,0.179,0.2449,0.0151,0.561
2,"['session_T', 'session_E']",1,37,0.5,2,0.202,0.6254,0.0957,0.0769
2,"['session_T', 'session_E']",1,38,0.5,2,0.1407,0.4278,0.1178,0.3137
2,"['session_T', 'session_E']",1,39,0.5,3,0.3406,0.0469,0.0195,0.593
2,"['session_T', 'session_E']",1,40,0.5,2,0.2762,0.2446,0.252,0.2273
2,"['session_T', 'session_E']",1,41,0.5,1,0.4443,0.2798,0.0395,0.2363
2,"['session_T', 'session_E']",1,42,0.5,3,0.3409,0.2394,0.0457,0.3739
2,"['session_T', 'session_E']",1,43,0.5,1,0.2002,0.1315,0.5747,0.0936
2,"['session_T', 'session_E']",1,44,0.5,0,0.3554,0.4077,0.1236,0.1132
2,"['session_T', 'session_E']",1,45,0.5,0,0.1254,0.2926,0.1392,0.4428
2,"['session_T', 'session_E']",1,46,0.5,2,0.0621,0.0855,0.7891,0.0633
2,"['session_T', 'session_E']",1,47,0.5,2,0.038,0.0285,0.8797,0.0539
2,"['session_T', 'session_E']",1,48,0.5,0,0.3571,0.386,0.0176,0.2393
2,"['session_T', 'session_E']",1,49,0.5,0,0.2471,0.0685,0.0101,0.6744
2,"['session_T', 'session_E']",1,50,0.5,0,0.3244,0.0641,0.0089,0.6026
2,"['session_T', 'session_E']",1,51,0.5,1,0.1338,0.3374,0.0249,0.5039
2,"['session_T', 'session_E']",1,52,0.5,3,0.6954,0.0564,0.0208,0.2274
2,"['session_T', 'session_E']",1,53,0.5,2,0.0688,0.051,0.2104,0.6699
2,"['session_T', 'session_E']",1,54,0.5,1,0.256,0.1936,0.1125,0.4379
2,"['session_T', 'session_E']",1,55,0.5,0,0.6542,0.0538,0.0196,0.2723
2,"['session_T', 'session_E']",1,56,0.5,0,0.3474,0.0819,0.0064,0.5643
2,"['session_T', 'session_E']",1,57,0.5,1,0.1704,0.1502,0.0057,0.6738
